tag,roadmap_item,model,resolution,seed,condition,top1,top5,processed_samples,elapsed_s,device,mlx_default_device,mlx_metal_available,git_hash,tau_low,tau_high,nominal_input_size,eval_input_size,keep_ratio,degrade_ratio,prune_ratio,delta_vs_baseline_pp
20260514_r12_reinforcement,R12e_mobilevit_resolution_sweep,mobilevit_s,160,0,e0_dense,55.214,79.484,50000,158.60383987496607,mps,"Device(gpu, 0)",True,ca8f73c,0.3,0.95,256,160,,,,0.0
20260514_r12_reinforcement,R12e_mobilevit_resolution_sweep,mobilevit_s,160,0,e8_overflow,55.12200000000001,79.39399999999999,50000,159.0785071668215,mps,"Device(gpu, 0)",True,ca8f73c,0.3,0.95,256,160,0.151838,0.848162,0.0,-0.092
20260514_r12_reinforcement,R12e_mobilevit_resolution_sweep,mobilevit_s,160,1,e0_dense,55.214,79.484,50000,157.92986191692762,mps,"Device(gpu, 0)",True,ca8f73c,0.3,0.95,256,160,,,,0.0
20260514_r12_reinforcement,R12e_mobilevit_resolution_sweep,mobilevit_s,160,1,e8_overflow,55.252,79.542,50000,158.2736045839265,mps,"Device(gpu, 0)",True,ca8f73c,0.3,0.95,256,160,0.151838,0.848162,0.0,0.038
20260514_r12_reinforcement,R12e_mobilevit_resolution_sweep,mobilevit_s,160,2,e0_dense,55.214,79.484,50000,157.72538054198958,mps,"Device(gpu, 0)",True,ca8f73c,0.3,0.95,256,160,,,,0.0
20260514_r12_reinforcement,R12e_mobilevit_resolution_sweep,mobilevit_s,160,2,e8_overflow,55.13400000000001,79.434,50000,158.3977076660376,mps,"Device(gpu, 0)",True,ca8f73c,0.3,0.95,256,160,0.151838,0.848162,0.0,-0.08
20260514_r12_reinforcement,R12e_mobilevit_resolution_sweep,mobilevit_s,192,0,e0_dense,61.036,84.052,50000,195.36306104203686,mps,"Device(gpu, 0)",True,ca8f73c,0.3,0.95,256,192,,,,0.0
20260514_r12_reinforcement,R12e_mobilevit_resolution_sweep,mobilevit_s,192,0,e8_overflow,60.916000000000004,83.98400000000001,50000,198.10245791706257,mps,"Device(gpu, 0)",True,ca8f73c,0.3,0.95,256,192,0.151838,0.848162,0.0,-0.12
20260514_r12_reinforcement,R12e_mobilevit_resolution_sweep,mobilevit_s,192,1,e0_dense,61.036,84.052,50000,199.71314524998888,mps,"Device(gpu, 0)",True,ca8f73c,0.3,0.95,256,192,,,,0.0
20260514_r12_reinforcement,R12e_mobilevit_resolution_sweep,mobilevit_s,192,1,e8_overflow,61.068,84.05799999999999,50000,193.9000833327882,mps,"Device(gpu, 0)",True,ca8f73c,0.3,0.95,256,192,0.151838,0.848162,0.0,0.032
20260514_r12_reinforcement,R12e_mobilevit_resolution_sweep,mobilevit_s,192,2,e0_dense,61.036,84.052,50000,191.73550399998203,mps,"Device(gpu, 0)",True,ca8f73c,0.3,0.95,256,192,,,,0.0
20260514_r12_reinforcement,R12e_mobilevit_resolution_sweep,mobilevit_s,192,2,e8_overflow,61.048,84.11,50000,191.5934051659424,mps,"Device(gpu, 0)",True,ca8f73c,0.3,0.95,256,192,0.151838,0.848162,0.0,0.012
20260514_r12_reinforcement,R12e_mobilevit_resolution_sweep,mobilevit_s,224,0,e0_dense,63.641999999999996,85.786,50000,255.039465875132,mps,"Device(gpu, 0)",True,ca8f73c,0.3,0.95,256,224,,,,0.0
20260514_r12_reinforcement,R12e_mobilevit_resolution_sweep,mobilevit_s,224,0,e8_overflow,63.54,85.758,50000,246.00075433403254,mps,"Device(gpu, 0)",True,ca8f73c,0.3,0.95,256,224,0.151838,0.848162,0.0,-0.102
20260514_r12_reinforcement,R12e_mobilevit_resolution_sweep,mobilevit_s,224,1,e0_dense,63.641999999999996,85.786,50000,234.197566667106,mps,"Device(gpu, 0)",True,ca8f73c,0.3,0.95,256,224,,,,0.0
20260514_r12_reinforcement,R12e_mobilevit_resolution_sweep,mobilevit_s,224,1,e8_overflow,63.693999999999996,85.854,50000,234.43098612502217,mps,"Device(gpu, 0)",True,ca8f73c,0.3,0.95,256,224,0.151838,0.848162,0.0,0.052
20260514_r12_reinforcement,R12e_mobilevit_resolution_sweep,mobilevit_s,224,2,e0_dense,63.641999999999996,85.786,50000,234.53315529203974,mps,"Device(gpu, 0)",True,ca8f73c,0.3,0.95,256,224,,,,0.0
20260514_r12_reinforcement,R12e_mobilevit_resolution_sweep,mobilevit_s,224,2,e8_overflow,63.698,85.788,50000,234.49190520797856,mps,"Device(gpu, 0)",True,ca8f73c,0.3,0.95,256,224,0.151838,0.848162,0.0,0.056
20260514_r12_reinforcement,R12e_mobilevit_resolution_sweep,mobilevit_s,256,0,e0_dense,65.48,87.144,50000,258.31273891590536,mps,"Device(gpu, 0)",True,ca8f73c,0.3,0.95,256,256,,,,0.0
20260514_r12_reinforcement,R12e_mobilevit_resolution_sweep,mobilevit_s,256,0,e8_overflow,65.434,87.08399999999999,50000,258.1763364581857,mps,"Device(gpu, 0)",True,ca8f73c,0.3,0.95,256,256,0.151838,0.848162,0.0,-0.046
20260514_r12_reinforcement,R12e_mobilevit_resolution_sweep,mobilevit_s,256,1,e0_dense,65.48,87.144,50000,269.8132567082066,mps,"Device(gpu, 0)",True,ca8f73c,0.3,0.95,256,256,,,,0.0
20260514_r12_reinforcement,R12e_mobilevit_resolution_sweep,mobilevit_s,256,1,e8_overflow,65.58,87.178,50000,274.50516420789063,mps,"Device(gpu, 0)",True,ca8f73c,0.3,0.95,256,256,0.151838,0.848162,0.0,0.1
20260514_r12_reinforcement,R12e_mobilevit_resolution_sweep,mobilevit_s,256,2,e0_dense,65.48,87.144,50000,277.61599845811725,mps,"Device(gpu, 0)",True,ca8f73c,0.3,0.95,256,256,,,,0.0
20260514_r12_reinforcement,R12e_mobilevit_resolution_sweep,mobilevit_s,256,2,e8_overflow,65.452,87.138,50000,275.2287314168643,mps,"Device(gpu, 0)",True,ca8f73c,0.3,0.95,256,256,0.151838,0.848162,0.0,-0.028
